,Amboseli,Masai_Mara,Nairobi,Samburu,Tsavo,Sibiloi,Monduli,Maswa,Mkomazi_W,Mkomazi_E,Burigi,Ikiri-Rungwa,Aruba_Dam,Ugalla
Amboseli,0,0.14253198,0.10114548,0.23117109,0.33427168,0.2498271,0.08930197,0.15047828,0.25189111,0.24863212,0.13400583,0.22360005,0.33796417,0.18352978
Masai_Mara,0.14253198,0,0.13992289,0.20827135,0.33929631,0.23001347,0.11364219,0.10179498,0.23993589,0.23362348,0.17447267,0.23175062,0.3389273,0.15363741
Nairobi,0.10114548,0.13992289,0,0.23004985,0.33046879,0.24803462,0.08424091,0.14811787,0.25113103,0.24674649,0.13558414,0.22429175,0.33478469,0.18175833
Samburu,0.23117109,0.20827135,0.23004985,0,0.28560049,0.10285896,0.21940625,0.22949052,0.23119763,0.23218841,0.24493822,0.22295148,0.28375046,0.24293595
Tsavo,0.33427168,0.33929631,0.33046879,0.28560049,0,0.29708106,0.32801945,0.33279892,0.17504342,0.16483789,0.33924381,0.31161934,0.03803914,0.33212827
Sibiloi,0.2498271,0.23001347,0.24803462,0.10285896,0.29708106,0,0.2415965,0.24795311,0.24478268,0.24956012,0.26052124,0.23083752,0.29446158,0.25679772
Monduli,0.08930197,0.11364219,0.08424091,0.21940625,0.32801945,0.2415965,0,0.12195729,0.24111329,0.23563279,0.12949201,0.21941149,0.33230235,0.16873315
Maswa,0.15047828,0.10179498,0.14811787,0.22949052,0.33279892,0.24795311,0.12195729,0,0.26674901,0.26215143,0.17106371,0.23996698,0.337774,0.10984353
Mkomazi_W,0.25189111,0.23993589,0.25113103,0.23119763,0.17504342,0.24478268,0.24111329,0.26674901,0,0.11547405,0.27515972,0.2572468,0.17245494,0.28075944
Mkomazi_E,0.24863212,0.23362348,0.24674649,0.23218841,0.16483789,0.24956012,0.23563279,0.26215143,0.11547405,0,0.2736285,0.2586885,0.16399423,0.28045729
Burigi,0.13400583,0.17447267,0.13558414,0.24493822,0.33924381,0.26052124,0.12949201,0.17106371,0.27515972,0.2736285,0,0.24435833,0.34291442,0.18452279
Ikiri-Rungwa,0.22360005,0.23175062,0.22429175,0.22295148,0.31161934,0.23083752,0.21941149,0.23996698,0.2572468,0.2586885,0.24435833,0,0.31302967,0.2573628
Aruba_Dam,0.33796417,0.3389273,0.33478469,0.28375046,0.03803914,0.29446158,0.33230235,0.337774,0.17245494,0.16399423,0.34291442,0.31302967,0,0.33625091
Ugalla,0.18352978,0.15363741,0.18175833,0.24293595,0.33212827,0.25679772,0.16873315,0.10984353,0.28075944,0.28045729,0.18452279,0.2573628,0.33625091,0